accident_risk,flood_risk,traffic_risk,lighting_risk,road_condition,weather_condition,time_of_day,day_type,risk_score
37.2,72.7,76.6,25.2,16.1,Clear,Afternoon,Weekend,44.0
60.3,75.3,62.1,65.3,81.2,Clear,Morning,Weekday,67.8
61.9,55.8,27.4,61.0,67.5,Clear,Evening,Weekend,55.6
74.6,91.8,18.6,7.1,33.4,Rain,Night,Weekday,59.2
11.5,67.2,60.2,13.2,67.9,Heavy Rain,Evening,Weekday,71.9
71.5,36.2,44.3,34.6,47.9,Clear,Evening,Weekend,47.4
86.7,62.2,76.3,61.6,42.7,Heavy Rain,Night,Weekday,100.0
50.7,48.5,44.8,63.5,30.1,Heavy Rain,Evening,Weekday,71.5
25.7,46.8,58.8,35.3,12.2,Heavy Rain,Morning,Weekday,53.4
33.9,84.2,66.1,27.1,10.8,Fog,Morning,Weekend,45.6
69.4,67.2,61.7,44.3,69.5,Clear,Morning,Weekday,64.1
54.4,47.6,52.5,39.0,65.9,Clear,Evening,Weekday,55.3
15.3,22.3,19.6,47.9,67.2,Clear,Morning,Weekday,33.1
88.0,52.2,32.6,13.0,24.6,Clear,Morning,Weekday,47.5
28.3,92.7,54.3,60.8,19.5,Heavy Rain,Afternoon,Weekend,65.7
44.9,44.6,24.7,9.1,80.6,Rain,Evening,Weekday,49.0
58.5,9.8,21.9,50.0,32.8,Fog,Morning,Weekend,36.7
72.2,25.3,51.8,41.0,43.2,Heavy Rain,Night,Weekday,66.6
56.8,71.6,85.8,21.6,25.8,Rain,Morning,Weekday,64.6
5.2,45.5,57.5,28.3,27.4,Heavy Rain,Evening,Weekday,50.1
83.5,75.9,60.0,57.9,80.0,Clear,Afternoon,Weekday,72.1
75.3,11.4,23.3,29.6,66.2,Rain,Morning,Weekday,50.8
64.5,89.8,50.0,44.5,16.0,Clear,Afternoon,Weekday,52.1
12.8,91.6,76.9,51.0,81.3,Fog,Evening,Weekday,65.2
69.3,47.3,62.1,78.3,23.6,Rain,Evening,Weekday,71.3
34.6,35.0,63.6,73.6,34.7,Rain,Morning,Weekend,51.2
51.8,45.9,35.2,30.9,82.8,Clear,Afternoon,Weekend,49.0
51.1,42.2,25.0,33.9,66.7,Rain,Evening,Weekday,55.5
83.9,44.4,65.9,14.7,83.0,Rain,Morning,Weekday,71.3
51.9,13.4,89.4,78.0,44.6,Clear,Evening,Weekday,59.6
48.3,29.6,76.8,83.4,28.3,Rain,Afternoon,Weekend,55.0
79.7,82.8,32.1,68.2,41.1,Fog,Afternoon,Weekend,63.2
30.4,57.8,89.9,44.2,21.1,Rain,Afternoon,Weekday,53.5
43.7,34.0,25.1,60.8,52.9,Clear,Evening,Weekday,47.9
64.9,78.0,40.9,58.1,71.6,Fog,Afternoon,Weekday,64.4
55.2,83.3,79.9,40.2,49.4,Rain,Evening,Weekday,76.8
18.1,47.3,87.5,32.1,62.0,Rain,Night,Weekend,57.3
37.3,33.5,67.5,65.8,75.4,Clear,Morning,Weekday,57.1
89.8,72.2,44.7,12.9,57.5,Heavy Rain,Afternoon,Weekday,82.8
8.9,76.7,33.5,35.0,20.9,Rain,Afternoon,Weekend,37.6
11.7,83.4,59.6,24.3,78.5,Clear,Afternoon,Weekday,47.7
5.8,77.4,82.1,59.2,21.8,Clear,Afternoon,Weekday,45.2
41.1,27.5,77.6,20.9,38.9,Rain,Morning,Weekday,50.6
89.4,31.6,88.2,57.7,30.6,Rain,Evening,Weekend,65.3
56.5,49.7,82.3,27.9,69.9,Rain,Afternoon,Weekday,65.4
62.6,69.9,62.7,72.1,57.1,Fog,Evening,Weekday,74.1
54.3,70.9,17.2,28.6,66.1,Clear,Morning,Weekday,51.3
50.1,87.2,76.4,25.6,71.9,Rain,Evening,Weekend,69.5
14.8,91.7,21.3,82.3,74.5,Heavy Rain,Night,Weekend,85.3
36.1,76.2,11.1,47.9,44.1,Rain,Evening,Weekday,56.5
84.9,14.8,28.7,7.0,76.3,Rain,Night,Weekday,47.9
75.0,86.8,34.2,37.7,20.5,Fog,Afternoon,Weekday,54.2
80.4,17.2,46.3,58.6,65.7,Fog,Afternoon,Weekend,53.9
40.3,13.9,49.1,37.6,81.4,Clear,Afternoon,Weekday,43.5
77.7,13.9,64.9,48.6,83.3,Clear,Afternoon,Weekday,53.3
77.1,45.9,63.0,56.3,54.8,Clear,Evening,Weekday,64.1
53.0,11.2,71.2,21.6,26.2,Heavy Rain,Afternoon,Weekday,46.1
5.2,82.3,21.6,15.4,28.8,Clear,Evening,Weekday,30.5
72.1,26.4,35.9,18.9,13.9,Heavy Rain,Afternoon,Weekend,48.7
71.1,51.2,18.7,45.3,80.9,Clear,Evening,Weekend,56.5
43.9,91.8,14.9,43.3,40.1,Rain,Afternoon,Weekend,50.3
11.9,59.7,15.3,27.0,57.5,Rain,Afternoon,Weekend,39.2
43.6,59.5,17.9,61.1,74.0,Rain,Evening,Weekend,61.0
43.4,25.6,37.1,41.3,41.2,Clear,Afternoon,Weekday,35.2
18.0,88.1,15.4,71.5,17.0,Clear,Evening,Weekend,45.1
54.8,55.5,36.4,14.8,36.5,Rain,Evening,Weekend,52.6
87.3,59.0,38.1,51.2,26.0,Rain,Morning,Weekday,65.5
36.2,73.6,55.9,69.6,73.4,Fog,Evening,Weekday,68.8
7.2,88.6,76.4,26.4,23.5,Heavy Rain,Afternoon,Weekday,55.7
78.9,56.0,42.1,16.3,57.5,Clear,Evening,Weekday,55.3
34.0,38.3,67.7,67.1,52.6,Clear,Morning,Weekday,52.0
62.3,29.5,63.0,43.9,43.2,Clear,Evening,Weekday,53.6
29.1,66.1,48.9,58.4,13.4,Clear,Afternoon,Weekday,39.5
23.0,17.4,30.4,31.2,10.6,Heavy Rain,Morning,Weekday,30.8
47.5,80.0,74.5,10.8,74.6,Clear,Morning,Weekend,58.9
53.9,56.6,66.8,38.4,18.6,Clear,Afternoon,Weekend,46.5
75.7,87.8,17.1,72.6,28.2,Rain,Afternoon,Weekday,63.9
33.9,35.0,23.5,45.8,18.6,Rain,Night,Weekday,43.2
74.6,78.4,28.9,16.7,24.8,Rain,Evening,Weekday,60.2
70.7,49.5,70.4,65.8,43.7,Fog,Afternoon,Weekday,61.6
78.5,61.4,22.1,10.5,43.2,Clear,Morning,Weekday,47.5
31.4,45.7,14.6,71.5,15.8,Heavy Rain,Night,Weekday,63.5
44.3,54.9,73.3,76.7,43.7,Heavy Rain,Evening,Weekday,91.7
17.8,10.6,18.3,76.9,35.8,Heavy Rain,Afternoon,Weekday,31.2
42.2,44.5,51.8,17.7,38.0,Clear,Afternoon,Weekday,38.9
72.1,63.3,15.3,12.6,60.9,Clear,Evening,Weekday,51.2
79.2,35.0,56.6,16.3,36.2,Fog,Evening,Weekday,55.2
84.7,32.9,40.1,68.3,71.0,Rain,Evening,Weekend,70.2
49.7,63.1,43.9,33.9,37.2,Clear,Morning,Weekend,45.1
24.3,17.4,16.2,72.6,17.6,Heavy Rain,Evening,Weekend,36.3
33.6,74.0,20.5,35.1,22.2,Heavy Rain,Evening,Weekend,59.4
42.2,42.0,64.1,24.0,43.3,Clear,Evening,Weekday,47.9
31.3,77.8,47.5,71.8,37.6,Fog,Night,Weekday,65.3
37.5,52.5,87.3,70.4,70.1,Clear,Morning,Weekday,63.0
52.1,14.2,77.7,73.1,31.4,Heavy Rain,Morning,Weekend,52.7
42.2,90.2,27.8,41.1,36.2,Clear,Morning,Weekday,47.7
89.5,38.7,12.3,79.5,72.9,Rain,Evening,Weekday,68.7
75.5,67.6,21.1,61.4,43.6,Clear,Morning,Weekday,56.6
51.6,70.5,52.2,13.9,31.6,Clear,Morning,Weekday,49.7
43.9,15.0,82.4,52.7,11.2,Rain,Morning,Weekday,46.3
57.3,26.7,43.3,58.1,16.4,Fog,Morning,Weekday,44.1
89.0,54.9,41.2,42.6,57.7,Fog,Morning,Weekday,64.3
34.3,71.0,60.3,66.7,65.1,Clear,Morning,Weekday,60.7
19.9,75.1,47.2,60.6,57.4,Heavy Rain,Morning,Weekend,69.2
29.9,8.9,26.0,8.4,80.0,Rain,Night,Weekday,32.7
69.0,22.2,38.6,67.5,74.9,Clear,Morning,Weekday,55.8
68.2,85.5,40.9,82.9,47.2,Rain,Night,Weekday,87.0
66.8,12.1,58.2,70.8,50.9,Clear,Morning,Weekday,50.8
56.2,43.4,65.2,33.1,13.2,Heavy Rain,Afternoon,Weekend,57.3
88.3,90.3,16.0,56.0,37.2,Heavy Rain,Evening,Weekend,79.9
56.6,75.3,12.8,10.4,68.4,Clear,Afternoon,Weekday,47.2
62.7,90.4,39.8,66.0,53.0,Rain,Afternoon,Weekday,67.2
14.6,71.2,49.9,36.0,52.1,Clear,Morning,Weekday,47.7
29.3,87.5,49.3,14.8,74.0,Rain,Night,Weekday,55.6
63.0,81.1,35.6,32.8,14.9,Rain,Night,Weekend,62.0
83.8,62.4,73.5,45.7,19.1,Clear,Morning,Weekend,54.5
52.1,38.2,74.3,49.1,55.9,Clear,Afternoon,Weekend,52.0
49.7,74.2,75.9,10.9,82.9,Rain,Afternoon,Weekday,67.4
79.6,75.2,61.2,19.6,82.5,Clear,Night,Weekday,65.2
18.0,19.8,35.8,61.7,36.0,Fog,Night,Weekend,45.9
59.0,54.6,20.0,29.2,50.0,Rain,Morning,Weekend,51.4
61.0,69.9,58.4,72.4,52.3,Heavy Rain,Morning,Weekday,90.1
54.0,63.6,71.4,38.3,57.9,Rain,Evening,Weekday,75.4
46.1,77.4,64.8,28.8,15.5,Clear,Afternoon,Weekday,44.9
56.6,33.1,67.5,63.7,74.6,Fog,Morning,Weekday,62.5
32.1,47.0,31.4,24.8,17.3,Clear,Afternoon,Weekday,29.0
78.6,19.4,36.2,51.2,33.5,Heavy Rain,Afternoon,Weekday,54.8
31.2,7.1,85.6,45.4,82.5,Clear,Afternoon,Weekday,45.0
80.0,63.9,47.6,47.9,73.5,Clear,Night,Weekend,69.8
36.1,41.1,55.6,20.6,51.5,Clear,Afternoon,Weekend,38.5
89.1,66.2,19.5,83.0,39.5,Heavy Rain,Afternoon,Weekend,83.4
21.9,50.8,50.0,8.6,20.3,Clear,Afternoon,Weekday,30.6
48.8,34.5,59.0,18.0,84.3,Heavy Rain,Morning,Weekday,69.1
50.2,68.8,34.0,70.3,37.6,Rain,Night,Weekday,77.2
66.7,66.9,12.1,43.0,82.5,Heavy Rain,Evening,Weekday,87.4
54.6,20.3,60.3,54.6,73.1,Clear,Evening,Weekday,59.2
14.3,6.7,35.1,17.1,61.8,Clear,Evening,Weekend,27.7
67.5,10.6,21.0,21.6,34.4,Rain,Afternoon,Weekday,37.1
82.5,35.8,38.3,66.8,64.1,Rain,Evening,Weekday,69.2
26.0,55.2,28.0,82.8,32.3,Clear,Morning,Weekday,41.4
34.6,89.0,73.6,26.9,19.1,Rain,Afternoon,Weekend,55.0
86.1,77.4,33.2,28.0,63.6,Clear,Afternoon,Weekday,59.4
22.2,53.5,84.6,60.7,20.3,Rain,Afternoon,Weekday,51.2
50.1,62.4,14.2,38.1,63.8,Clear,Evening,Weekday,49.4
84.0,41.6,84.8,75.3,45.8,Clear,Night,Weekday,78.6
82.2,13.1,55.9,47.8,64.2,Fog,Night,Weekday,63.6
19.9,87.8,89.8,36.8,47.2,Fog,Night,Weekend,61.0
5.8,56.1,18.6,83.6,31.3,Fog,Afternoon,Weekday,36.5
77.3,47.1,25.4,14.0,22.2,Rain,Morning,Weekday,52.5
72.2,56.1,70.6,19.0,74.2,Fog,Evening,Weekday,65.8
61.9,21.6,21.2,30.9,28.6,Clear,Morning,Weekend,35.5
30.7,70.1,10.9,57.3,62.0,Clear,Morning,Weekday,44.1
47.7,85.6,66.3,29.9,18.8,Fog,Morning,Weekday,54.7
16.4,18.8,69.8,53.5,41.2,Rain,Afternoon,Weekday,38.8
23.6,27.3,70.4,74.9,16.1,Clear,Evening,Weekday,47.5
10.2,54.3,50.4,50.8,21.2,Clear,Afternoon,Weekday,32.4
54.6,13.2,50.8,69.7,44.0,Rain,Afternoon,Weekday,48.4
73.6,70.1,41.7,70.3,65.9,Rain,Morning,Weekday,75.4
89.5,89.1,15.5,79.7,12.4,Clear,Evening,Weekend,66.2
59.9,42.8,89.4,35.6,75.2,Fog,Afternoon,Weekday,61.9
50.8,63.8,37.8,19.3,50.3,Rain,Evening,Weekday,56.3
6.9,31.9,63.9,48.6,49.9,Heavy Rain,Morning,Weekday,49.0
84.7,70.3,19.0,69.8,41.4,Heavy Rain,Night,Weekday,94.7
13.6,8.0,57.8,61.3,13.7,Heavy Rain,Afternoon,Weekday,28.2
78.4,10.1,50.3,28.1,71.2,Heavy Rain,Afternoon,Weekday,58.6
32.3,32.2,21.5,57.8,26.6,Clear,Morning,Weekend,33.4
82.5,61.3,44.2,44.6,82.9,Fog,Evening,Weekend,69.3
40.4,18.4,40.1,65.4,45.5,Heavy Rain,Afternoon,Weekday,49.6
82.8,55.6,87.4,49.6,20.1,Clear,Morning,Weekday,63.4
77.0,13.3,68.0,20.2,30.1,Rain,Evening,Weekend,48.9
69.7,70.2,54.7,43.4,75.2,Clear,Night,Weekday,69.7
86.8,15.6,90.0,43.3,28.2,Rain,Morning,Weekend,56.4
70.9,39.3,52.7,33.7,29.6,Rain,Afternoon,Weekday,57.4
44.9,80.6,83.1,34.7,41.0,Rain,Morning,Weekday,66.1
84.5,57.1,43.4,17.2,34.7,Clear,Evening,Weekday,54.5
63.2,28.2,75.7,82.3,58.1,Rain,Morning,Weekend,63.0
66.2,48.9,83.4,48.4,58.1,Clear,Morning,Weekend,60.8
61.8,73.8,43.0,72.4,27.4,Heavy Rain,Morning,Weekday,80.1
57.5,65.0,59.3,43.7,46.6,Clear,Afternoon,Weekday,53.3
28.4,93.0,11.4,70.1,60.6,Heavy Rain,Night,Weekday,81.6
17.7,22.3,52.1,70.2,30.0,Clear,Afternoon,Weekday,33.5
89.2,25.3,64.7,72.8,59.0,Heavy Rain,Evening,Weekday,80.0
52.0,10.1,10.8,18.7,47.5,Clear,Evening,Weekday,32.1
13.1,52.5,13.4,21.9,75.1,Fog,Afternoon,Weekday,32.1
83.7,85.9,55.1,7.6,79.7,Clear,Night,Weekday,66.9
65.6,40.8,16.2,18.0,28.0,Heavy Rain,Afternoon,Weekend,52.3
69.2,17.6,89.1,62.9,47.6,Fog,Morning,Weekday,61.4
34.0,74.2,86.4,36.7,68.0,Clear,Morning,Weekend,56.8
35.2,89.7,44.5,59.4,59.6,Clear,Evening,Weekend,60.6
12.0,18.9,66.9,55.7,65.5,Clear,Morning,Weekday,41.2
35.6,29.3,20.6,20.0,43.7,Rain,Afternoon,Weekday,34.4
12.9,58.8,36.0,35.8,31.9,Clear,Morning,Weekend,35.0
88.1,56.5,23.6,35.5,20.4,Clear,Afternoon,Weekday,46.7
40.8,48.6,16.2,25.1,28.5,Rain,Afternoon,Weekday,38.1
30.9,90.4,36.6,54.6,70.3,Clear,Afternoon,Weekend,55.7
87.8,17.3,35.7,80.8,25.1,Clear,Night,Weekend,60.3
64.1,49.2,56.1,24.4,38.2,Heavy Rain,Afternoon,Weekday,65.1
55.3,54.1,64.5,49.0,81.5,Rain,Evening,Weekday,74.5
63.9,78.7,73.7,37.7,47.4,Rain,Morning,Weekday,75.5
72.1,11.7,89.3,43.3,40.1,Rain,Night,Weekday,62.4
72.2,37.4,81.6,48.0,57.9,Clear,Evening,Weekday,64.2
60.0,9.0,88.7,59.2,40.0,Heavy Rain,Night,Weekday,70.1
27.0,51.0,51.5,51.4,53.1,Clear,Afternoon,Weekend,43.8
47.5,36.0,12.0,13.4,41.2,Fog,Morning,Weekend,31.7
31.5,46.0,26.5,43.6,45.7,Clear,Evening,Weekday,40.7
73.9,15.4,77.9,56.8,60.8,Clear,Night,Weekday,67.9
18.6,55.4,86.7,23.5,40.4,Clear,Evening,Weekday,44.7
57.2,22.8,57.4,36.1,62.9,Clear,Evening,Weekend,45.9
13.6,83.5,25.0,31.1,44.3,Clear,Night,Weekday,43.2
55.7,60.0,57.0,32.8,73.4,Rain,Evening,Weekday,69.8
57.2,12.6,20.7,14.4,32.9,Clear,Evening,Weekday,30.5
16.7,39.5,24.9,55.8,62.0,Rain,Night,Weekday,56.3
16.9,33.3,46.1,9.3,36.9,Clear,Morning,Weekend,29.7
48.0,49.5,64.8,38.3,73.0,Rain,Morning,Weekday,66.3
29.8,29.7,53.0,18.5,44.3,Heavy Rain,Evening,Weekday,48.4
14.7,74.8,75.9,34.3,71.7,Clear,Evening,Weekday,60.5
13.7,79.7,70.1,28.8,84.9,Clear,Afternoon,Weekend,51.8
89.5,74.8,29.0,69.9,54.1,Clear,Evening,Weekday,68.5
16.8,23.6,26.6,9.7,36.3,Clear,Afternoon,Weekday,22.8
29.6,29.1,78.6,83.8,60.9,Clear,Night,Weekend,65.3
89.4,83.0,20.2,74.3,28.7,Heavy Rain,Evening,Weekend,85.3
46.6,57.0,31.5,38.1,43.9,Rain,Night,Weekday,57.0
28.6,89.3,39.5,81.0,34.5,Clear,Evening,Weekend,57.9
44.0,64.8,38.7,10.1,50.1,Clear,Afternoon,Weekday,41.1
75.4,35.4,56.2,50.3,46.4,Clear,Evening,Weekday,56.8
71.6,46.4,19.9,73.6,43.1,Clear,Night,Weekday,65.2
16.2,63.5,22.7,79.6,30.6,Rain,Morning,Weekday,48.7
19.1,40.7,34.4,61.0,27.6,Rain,Evening,Weekday,44.8
16.3,25.4,64.4,5.7,62.2,Heavy Rain,Night,Weekday,42.0
11.0,39.5,68.5,13.2,33.5,Fog,Morning,Weekend,32.8
16.3,94.4,21.4,47.4,10.6,Rain,Afternoon,Weekend,40.2
17.9,42.1,64.9,73.8,16.5,Clear,Evening,Weekday,47.0
86.9,33.3,21.2,27.2,16.3,Rain,Evening,Weekday,50.3
63.7,81.3,62.7,29.1,48.8,Rain,Evening,Weekday,70.9
81.3,90.9,49.6,14.0,47.5,Rain,Afternoon,Weekend,68.4
84.4,16.9,78.9,50.5,37.4,Rain,Evening,Weekend,62.5
6.4,11.1,31.0,8.2,14.5,Heavy Rain,Afternoon,Weekday,17.1
40.3,68.2,16.6,47.9,56.2,Clear,Afternoon,Weekday,43.1
73.7,53.3,41.3,55.7,72.6,Rain,Morning,Weekday,72.7
76.9,10.2,16.9,39.8,44.0,Rain,Afternoon,Weekend,45.6
15.2,68.7,66.1,18.1,81.5,Rain,Evening,Weekend,54.4
15.8,75.3,31.5,75.9,67.9,Clear,Evening,Weekday,54.1
65.5,56.9,16.2,41.4,37.0,Rain,Afternoon,Weekday,53.5
13.7,56.7,67.8,23.3,48.2,Clear,Night,Weekday,42.4
37.6,18.5,84.5,73.6,51.5,Fog,Evening,Weekday,57.4
40.4,69.8,31.7,11.2,38.0,Rain,Night,Weekday,52.0
88.4,90.9,15.5,42.2,31.2,Heavy Rain,Afternoon,Weekday,71.7
22.1,55.7,34.3,54.8,44.8,Rain,Afternoon,Weekend,44.5
81.5,73.4,29.6,5.5,40.8,Clear,Afternoon,Weekend,51.6
85.8,5.1,62.6,72.9,64.5,Clear,Afternoon,Weekday,54.8
10.1,94.7,66.9,12.4,79.1,Fog,Afternoon,Weekday,50.6
87.8,12.6,17.6,15.7,71.5,Clear,Afternoon,Weekday,45.1
25.1,28.5,35.2,69.1,62.6,Heavy Rain,Afternoon,Weekday,49.1
22.2,75.2,56.8,17.4,22.3,Rain,Afternoon,Weekday,47.9
22.6,32.7,31.2,14.6,21.8,Rain,Evening,Weekday,29.7
76.1,34.5,17.3,24.9,36.7,Rain,Evening,Weekday,54.0
7.6,41.4,46.2,64.8,28.7,Rain,Evening,Weekday,42.6
75.6,93.4,20.5,70.9,37.9,Rain,Evening,Weekday,72.5
74.1,7.0,15.2,77.2,43.3,Clear,Night,Weekend,54.6
8.6,46.5,23.4,50.9,71.6,Clear,Morning,Weekday,36.0
23.3,21.8,32.4,75.7,12.6,Rain,Morning,Weekday,34.3
51.8,10.5,32.4,16.0,25.0,Fog,Afternoon,Weekday,31.6
72.6,94.0,72.6,33.7,50.8,Rain,Night,Weekday,76.7
20.3,33.7,27.5,76.7,68.4,Clear,Night,Weekday,55.8
90.0,92.7,18.0,57.5,30.0,Heavy Rain,Night,Weekday,94.7
23.6,81.2,73.8,33.4,72.9,Heavy Rain,Morning,Weekday,81.1
64.3,87.3,12.3,61.0,81.1,Rain,Afternoon,Weekday,71.1
79.9,49.3,34.7,44.2,16.8,Clear,Morning,Weekday,45.5
83.0,23.1,20.4,62.4,78.9,Heavy Rain,Afternoon,Weekday,65.6
83.0,74.7,77.7,73.9,82.0,Clear,Night,Weekday,88.2
30.7,17.3,22.6,80.9,69.4,Fog,Evening,Weekday,50.1
64.0,88.6,73.0,22.9,54.2,Clear,Afternoon,Weekday,59.0
67.0,90.4,85.9,36.3,84.6,Fog,Morning,Weekday,80.3
87.2,24.9,55.2,79.9,20.5,Heavy Rain,Morning,Weekend,60.1
80.3,13.0,66.7,56.1,76.5,Clear,Morning,Weekday,57.8
26.8,14.7,10.1,35.9,64.9,Fog,Night,Weekday,33.8
51.4,14.1,48.4,74.1,58.8,Rain,Morning,Weekday,55.4
30.1,33.7,86.1,10.9,22.8,Clear,Evening,Weekday,41.3
12.9,58.5,59.1,43.6,12.3,Fog,Morning,Weekend,33.3
13.6,23.5,25.2,60.8,64.2,Heavy Rain,Morning,Weekday,42.7
9.2,56.5,77.2,17.3,37.1,Clear,Morning,Weekday,42.3
22.0,7.3,23.7,28.3,16.1,Heavy Rain,Afternoon,Weekday,22.3
61.2,13.2,53.5,19.8,76.4,Clear,Afternoon,Weekday,43.6
24.2,29.2,14.9,65.2,60.1,Clear,Afternoon,Weekday,37.1
55.1,54.8,77.3,70.5,41.4,Rain,Night,Weekday,83.1
45.5,12.1,82.2,62.1,47.7,Fog,Evening,Weekday,56.7
15.2,73.1,23.8,83.7,82.9,Heavy Rain,Morning,Weekday,76.4
42.0,94.8,60.2,71.7,29.3,Fog,Night,Weekday,73.5
38.8,34.4,32.1,41.7,75.5,Heavy Rain,Evening,Weekday,62.0
40.2,18.3,57.0,65.7,80.5,Fog,Afternoon,Weekday,48.2
50.5,35.9,42.9,35.6,46.4,Rain,Morning,Weekday,49.6
56.7,67.4,13.1,76.2,34.9,Clear,Evening,Weekend,55.7
6.7,78.6,34.2,27.4,46.9,Rain,Morning,Weekend,40.4
87.8,44.9,76.1,26.6,41.3,Rain,Morning,Weekday,69.3
68.0,73.4,79.4,70.7,48.6,Clear,Afternoon,Weekday,63.3
77.4,84.1,12.3,20.4,72.5,Heavy Rain,Morning,Weekday,82.4
64.9,29.7,75.9,45.4,57.7,Clear,Morning,Weekday,57.6
20.1,83.3,57.0,33.0,22.3,Fog,Evening,Weekday,47.6
37.9,19.7,55.8,82.2,74.3,Rain,Evening,Weekday,61.8
6.7,75.2,71.4,5.7,78.4,Rain,Evening,Weekday,55.1
73.4,32.5,87.4,56.4,41.8,Clear,Afternoon,Weekday,55.5
62.6,79.2,41.8,13.2,48.4,Rain,Evening,Weekday,65.2
56.8,31.9,18.6,10.1,84.1,Rain,Night,Weekday,51.1
80.9,31.9,22.0,66.2,77.5,Heavy Rain,Evening,Weekday,77.2
62.9,69.9,62.4,84.8,29.5,Clear,Afternoon,Weekday,59.7
53.6,22.1,68.1,22.8,50.1,Heavy Rain,Night,Weekday,57.5
76.9,80.7,80.1,19.5,17.3,Clear,Morning,Weekend,57.8
